date,time,room,camera102,camera103,camera104,total_occupancy,cleaning,Deep Cleaning
29-03-2022,17:39:46,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:39:58,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:40:08,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:40:23,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:40:38,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:40:41,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:40:46,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:40:47,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:40:51,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:40:58,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:41:03,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:41:17,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:41:21,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:41:37,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:41:45,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:42:07,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:42:10,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:42:17,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:42:25,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:42:39,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:42:41,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:42:44,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:42:47,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:42:52,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:42:53,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:42:55,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:42:58,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:43:03,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:43:07,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:43:09,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:43:13,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:43:15,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:43:19,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:43:31,M1 Saperation Room,0,1,3,4,False,False
29-03-2022,17:43:42,M1 Saperation Room,0,1,3,4,False,False
29-03-2022,17:43:46,M1 Saperation Room,0,1,2,3,False,False
29-03-2022,17:43:50,M1 Saperation Room,0,1,2,3,False,False
29-03-2022,17:43:55,M1 Saperation Room,0,1,3,4,False,False
29-03-2022,17:43:59,M1 Saperation Room,0,1,3,4,False,False
29-03-2022,17:44:07,M1 Saperation Room,0,1,3,4,False,False
29-03-2022,17:44:21,M1 Saperation Room,0,1,3,4,False,False
29-03-2022,17:44:34,M1 Saperation Room,1,3,1,5,False,True
29-03-2022,17:44:40,M1 Saperation Room,0,2,2,4,False,True
29-03-2022,17:44:44,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:44:47,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:44:49,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:44:54,M1 Saperation Room,0,2,1,3,False,False
29-03-2022,17:45:00,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:45:02,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:45:13,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:45:17,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:45:22,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:45:26,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:45:28,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:45:32,M1 Saperation Room,0,1,1,2,False,False
29-03-2022,17:45:44,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:45:53,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:46:01,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:46:07,M1 Saperation Room,2,2,1,5,False,False
29-03-2022,17:46:13,M1 Saperation Room,1,2,1,4,False,False
29-03-2022,17:46:16,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:46:27,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:46:50,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:46:55,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:47:16,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:47:23,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:47:29,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:47:38,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:47:42,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:47:50,M1 Saperation Room,0,1,0,1,False,False
